Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,FT50,PDF
"THE PERFORMANCE IMPLICATIONS OF PARTICIPATING IN AN ACQUISITION WAVE: EARLY MOVER ADVANTAGES, BANDWAGON EFFECTS, AND THE MODERATING INFLUENCE OF INDUSTRY CHARACTERISTICS AND ACQUIRER TACTICS.","McNamara, Gerry M.; Haleblain, Jerayer (John); Dykes, Bernadine Johnson",Academy of Management Journal,00014273,,Feb2008,51,1,113,18,30755057,10.5465/AMJ.2008.30755057,Academy of Management,Article,Consolidation & merger of corporations; First-mover advantage; Business cycles; Follower advantage; Business forecasting; Financial performance; Information asymmetry; Strategic planning; Success in business; Economic activity; United States; Economic conditions in the United States,,"Acquisitions often occur in waves within industries. We extend the theoretical understanding of such waves by drawing upon research on early mover advantage and bandwagon effects to develop arguments regarding the likely performance potential of participating at different points in an acquisition wave. In line with our theoretical model, we find acquisition performance is higher for early movers but lower for acquirers that participate at the height of the acquisition wave. Although we find this general performance trend, our findings suggest both industry and acquirer characteristics influence the degree to which firms seize early mover advantages or fall prey to bandwagon pressures.",FT50,Y
To Innovate or Imitate? Entry Strategy and the Role of Market Research.,"Ofek, Elie; Turut, Ozge",Journal of Marketing Research (JMR),00222437,,Oct2008,45,5,575,18,35511893,10.1509/jmkr.45.5.575,American Marketing Association,Article,"New product development; Market entry; Innovation management; Research & development; Business planning; Decision making in marketing; Marketing research; Marketing strategy; Product design; Follower advantage; First-mover advantage; Creativity in advertising; Marketing Research and Public Opinion Polling; Marketing Consulting Services; Industrial Design Services; Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology); Research and Development in Biotechnology",entry strategy; innovation management; market research; new product development,"A firm planning market entry can attempt to develop a product that is either similar to the incumbent's existing offering (imitation) or entirely novel (innovation). The authors establish that when the incumbent is more aggressive in research and development (R&D), this negatively affects the entrant's marginal return on R&D. Thus, if greater profits produce a strong (weak) desire for the incumbent to increase its R&D level, the entrant will respond by sharply decreasing (increasing) its R&D level. As a result, the incumbent's likelihood of retaining the lead position will exhibit an inverse U-shaped pattern as a function of monopoly and duopoly profits. The authors then examine the impact of uncertainty about the rewards from new products and allow firms to conduct market research to resolve the uncertainty. They characterize the conditions for the entrant's innovation versus imitation decision to reveal information about future rewards to the incumbent. When duopoly profits are uncertain and can be either high (upside potential) or low (downside potential), the entry strategy will be revealing if the upside potential is attractive enough relative to monopoly profits. In contrast, when innovation has uncertain commercial potential (i.e., either valued or not valued by consumers), the entry strategy will be revealing if duopoly profits are unattractive relative to monopoly profits. In these cases, the entrant's innovation–imitation decision is driven by market research; this allows the incumbent to forgo market research and infer the true state of demand from the type of entry strategy it observes.",FT50,Y
What doesn't kill you makes you stronger: The evolution of competition and entry-order advantages in economically turbulent contexts.,"Garcia-Sanchez, Javier; Mesquita, Luiz F.; Vassolo, Roberto S.",Strategic Management Journal,01432095,,Dec2014,35,13,1972,21,99045990,10.1002/smj.2189,Wiley-Blackwell,Article,First-mover advantage; Shock (Economics); Economic competition; Market entry; Investments; Miscellaneous Financial Investment Activities; Investment Advice,competitive dynamics; early mover advantages; economic shocks; industry life cycle; simulation,"We examine the evolution of competition and entry-order advantages in markets under macroeconomic distress. Through formal modeling of early-mover advantages along industry life cycles subjected to economic shocks and based on simulation findings, we propose that such shocks exogenously induce temporary industry discontinuities that shift the relative value of distinct asset endowments, thereby switching the bases for competitive advantages vis-à-vis those found in stable contexts. A vital trade-off then emerges between a firm's financial flexibility and its pace of investments in isolating mechanisms, such that the former operates as a contingency factor for the latter. As such, flexibility superiority boosts early-entrants' advantages, while it alternatively gives laggards a much desired strength to out trump first-mover rivals. Our study informs entry-order advantage theory and management practice in economically turbulent contexts. Copyright © 2013 John Wiley & Sons, Ltd.",FT50,Y
A Structural Analysis of Disappointment Aversion in a Real Effort Competition.,"Gill, David; Prowse, Victoria",American Economic Review,00028282,,Feb2012,102,1,469,35,71360811,10.1257/aer.102.1.469,American Economic Association,Article,Game theory; Agency theory; Rational expectations (Economic theory); Logic; Economic competition; First-mover advantage; Research and Development in the Social Sciences and Humanities; Disappointment; Aversion; Mathematical models of social sciences; Competition (Psychology),,"We develop a novel computerized real effort task, based on moving sliders across a screen, to test experimentally whether agents are disappointment averse when they compete in a real effort sequential-move tournament. We predict that a disappointment averse agent, who is loss averse around her endogenous choice-acclimating expectations-based reference point, responds negatively to her rival's effort. We find significant evidence for this discouragement effect, and use the Method of Simulated Moments to estimate the strength of disappointment aversion on average and the heterogeneity in disappointment aversion across the population. (JEL C91, D12, D81, D84)",FT50,Y
Advantages of Time-Based New Product Development in a Fast-Cycle Industry.,"Datar, Srikant; Jordan, C. Clark; Kekre, Sunder; Srinivasan, Kannan; Rajiv, Surendra",Journal of Marketing Research (JMR),00222437,,Feb1997,34,1,36,14,9703160181,,American Marketing Association,Article,"First-mover advantage; Competitive advantage in business; New product development -- Marketing; Computer industry; Product management; Market share; Profitability; High technology industries; Manufacturing processes; Follower advantage; Product life cycle; Computer and peripheral equipment manufacturing; Electronic Computer Manufacturing; Computer, computer peripheral and pre-packaged software merchant wholesalers; Electronics Stores; Computer and software stores; Industrial Process Furnace and Oven Manufacturing; Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables; Marketing Consulting Services",,"The authors study the impact of time-based product development on sustainable market share gains in a high-technology computer component industry. Three dominant firms, with international new product development and manufacturing facilities, have introduced more than 200 new products into this fast-cycle market in a five-year period. The authors systematically examine the leads and lags at critical stages of the product development process: concept generation, prototype completion, and volume production. Their main finding is that lead-time advantage affects market share positively, albeit differentially, at each stage. The benefit of lead-time gain is greatest at the volume production stage, followed by the concept generation stage. The authors also develop a new notion of lead-time threshold-a time period in which if a competitor catches up, no market share gain is achieved by the firm that introduces the product first. They endogenously estimate the magnitude of the threshold for each stage of the product development process, observing that a significant threshold is present at both the concept generation and volume production stages. Finally, the structure of the development process, which differs across the firms in the market, affords significant differential ability to catch up with competitors.",FT50,Y
An Economic Analysis of Strategic Information Technology Investments.,"Barua, Anitesh; Kriebel, Charles H.; Mukhopadhyay, Tridas",MIS Quarterly,02767783,,Sep91,15,3,313,19,9604010613,,MIS Quarterly,Article,Capital investments; First-mover advantage; Duopolies; Technological innovations & economics; Quality of service; Cost structure; Innovation management; Information technology & economics; Diffusion of innovations -- Economic aspects; Information technology projects -- Economic aspects,duopoly; investment decision; leadership incentives; quality competition; Strategy; switching cost,"The information systems literature is replete with conceptual frameworks for analyzing strategic applications of information technology (IT). In this article, the strategic impacts of IT investment are studied through the development of a formal economic model. In particular, it focuses on IT-related quality competition in a duopoly, where the services may not be priced initially (e.g., in the financial services sector), and where the benefits may come indirectly (e.g., in the form of interest earned on consumer deposits or float on checking accounts). A firm may have to invest in IT, regardless of its underlying cost structure, as a response to its competitor's investment level. (We analyze the division of technology benefits between the firms and the consumers and study welfare implications for simultaneous and sequential investments.) Both firms prefer sequential over simultaneous investments, even when both have the required technology. While the IT-inefficient firm (one with higher IT cost for a given service quality) has followership incentives, the leadership incentives for the IT-efficient firm depend on the difference in IT cost structures and on the degree of substitutability between the services of the two firms. A preliminary treatment of pricing issues is provided in conjunction with consumer switching cost, which not only has a negative impact on consumer welfare but may also reduce total industry profits. For dynamic markets with new consumers, the negative effect of switching cost on the welfare of existing consumers is reduced when the IT-efficient firm moves first.",FT50,Y
Consumer Preference Formation and Pioneering Advantage.,"CARPENTER, GREGORY S.; NAKAMOTO, KENT",Journal of Marketing Research (JMR),00222437,,Aug1989,26,3,285,14,5002047,,American Marketing Association,Article,Consumer preferences; Industrial marketing; Consumer behavior; Market share; Market repositioning; Market entry; First-mover advantage; Product differentiation; Empirical research; Heuristic; Emerging markets,,"Market pioneers outsell later entrants in both consumer and industrial markets. Entry barriers arising from preemptive positioning and switching costs have been advanced to explain this market share difference, termed ""pioneering advantage."" However, empirical studies show that pioneering advantages are present even in mature markets in which brands reposition and switching costs are minimal. In these cases, the authors argue that pioneering advantage can arise from the process by which consumers learn about brands and form their preferences. This process can produce a preference structure that favors the pioneer, making it difficult for later entrants to ""compete away"" the pioneer's large market share, even if brands can reposition and switching costs are minimal.",FT50,Y
Contextual and Strategic Differences Among Mature Businesses in Four Dynamic Performance Situations.,"Zeithaml, Carl P.; Fry, Louis W.",Academy of Management Journal,00014273,,Dec1984,27,4,841,20,4395108,10.2307/255882,Academy of Management,Article,Conjoint analysis (Marketing); Market share; Profitability; Strategic planning; Cost centers (Accounting); MANAGEMENT; Profit Impact of Market Strategy; Multivariate analysis; First-mover advantage; Rate of return; Industrial concentration -- Economic aspects,,Recent empirical studies have presented evidence that contradicts the presumed trade-off between changes in market share and profitability. This research attempted to resolve these inconsistent findings and to examine the conditions under which simultaneous increases in market share and profitability are found Contextual and strategic differences were identified among businesses in four dynamic performance situations.,FT50,Y
Controlling for Observed and Unobserved Managerial Skills in Determining First-Mover Market Share Advantages.,"Murthi, B.P.S.; Srinivasan, Kannan; Kalyanaram, Gurumurthy",Journal of Marketing Research (JMR),00222437,,Aug1996,33,3,329,8,9608225398,,American Marketing Association,Article,Market share; First-mover advantage; Market entry; Executive ability (Management); MANAGEMENT; Marketing management; Econometrics; Industrial concentration; Marketing strategy; Marketing Consulting Services; Industrial productivity; Competition,,"Empirical research on pioneering advantage establishes a strong association between pioneering and market share. Researchers, however, suggest that managerial skills may account for the relationship and underscore the need to control for such skills. The authors develop efficiency measures to represent a firm's managerial skills, employing the data envelopment analysis framework as well as a regression-based approach. Furthermore they account for unobserved, firm-specific factors that Include unobserved managerial skills. With such systematic control for observed and unobserved managerial skills, they reexamine the impact of pioneering on market share and find that it is robust even after they control for managerial skills.",FT50,Y
Disentangling Pioneering Cost Advantages and Disadvantages.,"Boulding, William; Christen, Markus",Marketing Science,07322399,,Jul/Aug2008,27,4,699,18,34585017,,INFORMS: Institute for Operations Research,Article,First-mover advantage; Cost effectiveness; Supply chain management; Experience curve; Market share; Marketing science; Marketing research; Estimation theory; Endogenous growth (Economics); Marketing strategy; Profitability; Asset management; Marketing Research and Public Opinion Polling; Portfolio Management; Other Activities Related to Real Estate,cost effects; IV-estimation; pioneering; preemption; supply chain management,"Existing literature discusses a number of possible pioneering cost advantages and disadvantages. In this paper, we empirically test three different sources of long-term pioneering cost advantage--experience curve effects, preemption of input factors, and preemption of ideal market space--and three different sources of pioneering cost disadvantage--imitation, vintage effects, and demand orientation. We disentangle these sources by breaking total cost of a business unit into three different components--purchasing, production, and selling, general, and administrative (SG&A) costs--and identifying conditions that intensify or reduce the effect of the proposed source. Using two samples of business units, one for consumer goods and one for industrial goods, we find support for five of the six sources of pioneering cost advantage and disadvantage in both samples, while the advantage due to preemption of ideal market space is limited to the consumer goods sample. The unconditional analysis shows a pioneering purchasing cost advantage but even larger pioneering production and SG&A cost disadvantages. The complexity of our obtained findings suggests that managers need to think carefully about their particular conditions before making assumptions about the cost and, therefore, profit implications of a pioneering strategy.",FT50,Y
FIRST-MOVER ADVANTAGES.,"LIEBERMAN, MARVIN B.; MONTGOMERY, DAVID B.",Strategic Management Journal,01432095,,Summer1988,9,,41,18,93874724,,Wiley-Blackwell,Article,"First-mover advantage; Economic competition; Research & development; Leadership; Technology; Organizational change; Assets (Accounting); Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology); Research and Development in Biotechnology",,"This article surveys the theoretical and empirical literature on mechanisms that confer advantages and disadvantages on first-mover firms. Major conceptual issues are addressed, and recommendations are given for future research. Managerial implications are also discussed.",FT50,Y
Impact of a Late Entrant on the Diffusion of a New Product/Service.,"Krishnan, Trichy V.; Bass, Frank M.; Kumar, V.",Journal of Marketing Research (JMR),00222437,,May2000,37,2,269,10,3414841,,American Marketing Association,Article,"Follower advantage; Market potential; Cell phones; Mathematical models of marketing; Category management; First-mover advantage; Brand inertia; Marketing mix; Brand mobility; Parameter estimation; Market leaders; Sales forecasting; Management science; Market mapping; Marketing models; Market entry; Electronics Stores; Wireless Telecommunications Carriers (except Satellite); Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing; Electronic components, navigational and communications equipment and supplies merchant wholesalers",,"Starting with Bass's (1969) article, diffusion researchers have predominantly focused on modeling category-level sales growth and issues surrounding it. In this article, the authors propose a brand-level diffusion model and demonstrate its managerial use by applying it to the following issue: If a new brand enters a category that has not attained its peak sales, how can a practicing manager evaluate its impact on the category and on the incumbent brands? The proposed model helps the manager diagnose whether the late entrant affects the market potential and/or the diffusion speed of the category and of the incumbent brands. The authors test the model using brand-level sales data from the cellular telephone industry in multiple markets.",FT50,Y
"Innovations' Origins: When, By Whom, and How Are Radical Innovations Developed?","Golder, Peter N.; Shacham, Rachel; Mitra, Debanjan",Marketing Science,07322399,,Jan/Feb2009,28,1,166,14,37206388,,INFORMS: Institute for Operations Research,Article,"Innovations in business; Mass markets; Commercialization; Time to market (New products); New product development; Research & development; First-mover advantage; Marketing science; Innovation management; New product development -- Marketing; Commercial markets; Follower advantage; Market leaders; Marketing Consulting Services; Research and Development in Biotechnology; Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology); New product development management",high-tech marketing; innovation; new product research; product development; radical innovation; really new products; speed-to-market,"Innovation research tends to consider only the post-commercialization period or examine a few innovations through case studies. In this study, we examine 29 radical innovations from initial concept to mass-market commercialization. We find that these innovations were developed over an average of at least 50 years and divide this long development period into four distinct stages--conceptualization, gestation, early incubation, and late incubation. We find that the duration of a stage is longer when different firms lead product development at the beginning and end of the stage. These changes in product development leaders happen frequently, e.g., 76% of firms that were first to commercialize an innovation failed to launch it in the broader market. We also find that the time-to-takeoff for a product category is significantly related to the duration of the preceding late incubation stage. In addition, we find four different ways in which radical innovations borrow from prior seemingly unrelated innovations. We report many other findings on when (duration times), by whom (product development leaders), and how (technology borrowing) radical innovations are developed.",FT50,Y
New Product Introduction and Incumbent Response Strategies: Their Interrelationship and the Role of Mutlimarket Contact.,"Shankar, Venkatesh",Journal of Marketing Research (JMR),00222437,,Aug1999,36,3,327,18,2181747,,American Marketing Association,Article,Product launches; Market entry; Mathematical models of marketing; Estimation theory; Advertising spending; Marketing mix; Elasticity (Economics); Marketing science; Mathematical models of consumption; Market leaders; Follower advantage; First-mover advantage; Drugs and Druggists' Sundries Merchant Wholesalers; Pharmaceutical and medicine manufacturing; Pharmaceuticals and pharmacy supplies merchant wholesalers; Drug marketing; Prediction models,,"In this article, the author studies the determinants of both new product introduction and incumbent response strategies in a single integrated framework. Building on previous research in strategic management, industrial organization, and marketing, the author conceptually identifies the factors that potentially influence these strategies, develops hypotheses about the impact of the key factors on these strategies, and focuses on the interrelationship between new product introduction and incumbent response strategies and on the role of multimarket contact in these strategies. To test these hypotheses, the author formulates models of introduction and response strategies, including an anticipated incumbent reaction formation model. The results of the empirical analysis show that new product introduction strategy is influenced significantly by incumbent reaction strategy, and vice versa. The relationship of a new product's marketing spending to the anticipated incumbent reaction is different for incumbents of different sizes. The analysis shows that higher spending by a new brand results in incumbent response that is significantly lower in magnitude. The results also show that multimarket contact leads to both lower introduction spending and milder incumbent response. The author discusses the managerial implications of these results.",FT50,Y
Pioneering Plus a Broad Product Line Strategy: Higher Profits or Deeper Losses?,"Boulding, William; Christen, Markus",Management Science,00251909,,Jun2009,55,6,958,10,41579220,,INFORMS: Institute for Operations Research,Article,Product lines; Product management; First-mover advantage; Profitability; Strategic planning; Marketing strategy; Empirical research,business unit profitability; IV estimation; pioneering; preemption; Product Line Strategy,"Previous research suggests firms can build a market share advantage by preempting later entrants with a broad product line and expanding rapidly into related markets. Whether such a strategy leads to a pioneering profit advantage relative to followers also depends on its cost effects. In this paper, we examine when the market share advantage of a pioneering firm with a broad product line strategy translates into a profit advantage by examining the cost effects of this strategy. Using the profit impact of marketing strategies data and an estimation method that controls for various unobserved factors, we find significant differences between different industry settings. From these contrasting findings, we generate an emerging theoretical framework that we subject to empirical testing. We conjecture, and empirically verify, that creating a broad product line with a versioning strategy--creating variety from a standard product in anticipating customer demand--does not increase the pioneering cost disadvantage, and thus results in a pioneering profit advantage. On the other hand, with a tailoring strategy--creating variety by customizing a product to actual customer demand--a broad product line substantially increases the pioneering cost disadvantage, thereby making a preemption strategy counterproductive.",FT50,Y
Product Development Cycle Time and Organizational Performance.,"Ittner, Christopher D.; Larcker, David F.",Journal of Marketing Research (JMR),00222437,,Feb1997,34,1,13,11,9703160179,,American Marketing Association,Article,"Product launches; First-mover advantage; Competitive advantage in business; Market entry; Manufacturing processes; Product design; Sales; Commercial products; Marketing strategy; Profit maximization; Organizational effectiveness; Success in business; Commodity Contracts Brokerage; Commodity Contracts Dealing; Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables; Industrial Process Furnace and Oven Manufacturing; Industrial Design Services",,"The authors develop and test a simple conceptual model linking product development cycle time to organizational performance. Using data from two industries (automobile arid computer) and four countries (Canada, Germany, Japan, and the United States), they find that faster cycle time alone is not associated with higher accounting returns, sales growth, or perceived overall performance. Stronger support is found for the hypothesis that some product development practices, such as cross-functional teams and advanced design tools, interact with accelerated product development to improve performance, whereas other practices, such as reverse engineering of competitors' products, suppress the potential benefits from lower cycle times. Finally, interaction effects for other organizational practices, such as customer involvement in the product development process and the extent to which new technology is obtained from external sources, appear to vary by industry.",FT50,Y
Strategic Entry Before Demand Takes Off.,"Qiaowei Shen; Villas-Boas, J. Miguel",Management Science,00251909,,Aug2010,56,8,1259,13,53020076,DOI 10.1287/mnsc.1100.1190,INFORMS: Institute for Operations Research,Article,Market entry; Business planning; Strategic planning; First-mover advantage; Mathematical models; Competition,COMPETITION; Industry dynamics; strategic entry,"In developing industries, firms have to decide whether and when to enter the market depending on the state of demand, existing firms in the industry, and the firm's capabilities. This paper investigates a model of increasing demand, in which firms decide when to enter the market anticipating the strategic behavior of other potential entrants, and the effects of entry on future potential entrants. This paper shows that the ability of early entry to deter future competitors' entry leads firms to enter the market at a rate faster than demand is expanding. If there is the potential for many firms to enter the market, firms may be less likely to enter because of future competitor entry to correct any market opportunities. If firms enter the market depending on their fixed capabilities rather than depending on the firm's circumstances at each moment in time, firms end up entering the market at a faster rate in the early periods.",FT50,Y
Technological Discontinuities and Organizational Environments.,"Tushman, Michael L.; Anderson, Philip",Administrative Science Quarterly,00018392,,Sep86,31,3,439,27,4013939,,Administrative Science Quarterly,Article,Technological innovations; Technological progress; Organizational change; Organizational sociology; Automation; Environmental munificence; Airline industry; Resource management; First-mover advantage; Competitive advantage in business; Success in business; Scheduled air transportation; Scheduled Passenger Air Transportation; Science & society,"WORK LIFE, MANAGEMENT, AND PERFORMANCE.","This paper focuses on patterns of technological change and on the impact of technological breakthroughs on environmental conditions. Using data from the minicomputer, cement, and airline industries from their births through 1980, we demonstrate that technology evolves through periods of incremental change punctuated by technological breakthroughs that either enhance or destroy the competence of firms in an industry. These breakthroughs, or technological discontinuities, significantly increase both environmental uncertainty and munificence. The study shows that while competence-destroying discontinuities are initiated by new firms and are associated with increased environmental turbulence, competence-enhancing discontinuities are initiated by existing firms and are associated with decreased environmental turbulence. These effects decrease over successive discontinuities. Those firms that initiate major technological changes grow more rapidly than other firms.",FT50,Y
The Advantages of Entry in the Growth Stage of the Product Life Cycle: An Empirical Analysis.,"Shankar, Venkatesh; Carpenter, Gregory S.; Krishnamurthi, Lakshman",Journal of Marketing Research (JMR),00222437,,May99,36,2,269,8,1877770,,American Marketing Association,Article,Market entry; Product life cycle; Brand name products; Product quality; Marketing models; New product development; Mathematical models of marketing; Growth rate; Perceived quality; Market power; Follower advantage; Market leaders; First-mover advantage; Marketing Consulting Services; Pharmaceutical and medicine manufacturing; Drugs and Druggists' Sundries Merchant Wholesalers; Pharmaceuticals and pharmacy supplies merchant wholesalers; Drug marketing,,"In this article, the authors examine how the stage of product life cycle in which a brand enters affects its sales through brand growth and market response, after controlling for the order-of-entry effect and time in market. The authors develop a dynamic brand sales model in which brand growth and market response parameters vary by stage of life cycle entry, namely, by pioneers, growth-stage entrants, and mature-stage entrants. The authors estimate the model using data on 29 brands from six pharmaceutical markets. The results reveal advantages associated with entering during the growth stage. Growth-stage entrants reach their asymptotic sales level faster than pioneers or mature-stage entrants, are not hurt by competitor diffusion, and enjoy a higher response to perceived product quality than pioneers and mature-stage entrants. Pioneers reach their asymptotic sales levels more slowly than later entrants, and pioneer's sales, unlike later entrants' sales, are hurt by competitor diffusion over time. On the positive side for pioneers, buyers are most responsive to marketing spending by pioneers. Mature-stage entrants are most disadvantaged; they grow more slowly than growth-stage entrants, have lower response to product quality than growth-stage entrants, and have the lowest response to marketing spending.",FT50,Y
The Contingency Value of Complementary Capabilities in Product Development.,"Moorman, Christine; Slotegraaf, Rebecca J.",Journal of Marketing Research (JMR),00222437,,May99,36,2,239,19,1877768,,American Marketing Association,Article,"New product development; Strategic planning; First-mover advantage; Product quality; Industrial efficiency; Marketing models; Competitive advantage in business; Industrial design -- Economic aspects; Managerial economics; Marketing science; Conjoint analysis (Marketing); Research & development; Time to market (New products); Marketing management; Marketing Consulting Services; Research and Development in Biotechnology; Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology); Technology & economics",,"Current interdisciplinary research suggests that organizational capabilities have a direct, unconditional impact on firm performance. The authors extend this literature by developing a framework that proposes a contingency approach to the value of organizational capabilities. This framework highlights the effect of information in the external environment in stimulating firms to deploy their technology and marketing capabilities to influence the level and speed of relevant product development activities. Using a longitudinal quasiexperiment to isolate the effects of external information on the relationship between firm capabilities and product development outcomes, the authors obtain results that are consistent with this framework. The authors therefore conclude that the most valuable characteristic of firm capabilities may be their ability to serve as flexible strategic options. In this role, firms can deploy them in ways consistent with environmental forces.",FT50,Y
The dynamic nature of survival determinants in e-commerce.,"Nikolaeva, Ralitza",Journal of the Academy of Marketing Science,00920703,,Winter2007,35,4,560,12,28137157,,Springer Science & Business Media B.V.,Article,Electronic commerce; Business enterprises; Internet sales; First-mover advantage; Publicity; Electronic shopping and mail-order houses; Electronic Shopping; Competition,,"Abstract The dynamic effects of survival determinants in e-commerce are tested using longitudinal data on 460 e-tailers. This is achieved through the incorporation of both time-varying covariates and coefficients in a discrete hazard rate model. The model includes elements of competitive strategy, industry structure, firm and product characteristics, and the macro environment. The study demonstrates the changing effect over time of factors affecting survival. For example, order of entry advantages are observed, but they are short-lived. This finding shows that e-tailers cannot rely on early entry as a strategic move in the long run. E-tailers with more media presence seem to survive longer. Being publicly traded and selling products with digital characteristics present advantages for e-tailers only in the beginning years, but they are not sustainable over long time periods. Survival chances decrease with higher competitive density, market growth rate, and equity market level at the time of entry. Conversely, economic growth tends to increase survival chances. The study also finds an inverted-U relationship between the hazard of exit and firm age. The conclusion section discusses the implications of the time- varying nature of survival determinants.",FT50,Y
The Emergence of Market Structure in New Repeat-Purchase Categories: The Interplay of Market Share and Retailer Distribution.,"Bronnenberg, Bart J.; Mahajan, Vijay; Vanhonacker, Wilfried R.",Journal of Marketing Research (JMR),00222437,,Feb2000,37,1,16,16,3414882,,American Marketing Association,Article,Product launches; Distribution (Economic theory); Follower advantage; Marketing channels; First-mover advantage; MARKETING; Market share; Mathematical models of marketing; Retail industry management; Market entry; Statistical hypothesis testing; Mathematical models of economics; Marketing mix; United States; All Other Miscellaneous Store Retailers (except Tobacco Stores); All other miscellaneous general merchandise stores; All other miscellaneous store retailers (except beer and wine-making supplies stores); All Other Specialty Food Stores; Other specialty-line food merchant wholesalers; All Other Miscellaneous Crop Farming; Coffee and Tea Manufacturing; All other miscellaneous crop farming; Tea,,"The authors study brand-share dynamics among competing brands in new repeat-purchase categories. In such new categories, market shares are strongly affected by retailer distribution decisions. Because a retailer that considers a brand for distribution can take into account the prior performance of that brand with other retailers, the success of a manufacturer in obtaining distribution can depend positively on its brand's market share to date. This creates positive feedback between a brand's market share and its distribution over the growth stage of the category. Temporary positive feedback, along with the way manufacturers influence their brand's market share and distribution, is hypothesized to drive the emergence of the market structure. The authors model this feedback to quantify the evolution of a brand's coupled market share and distribution. Empirical results using data from the U.S. ready-to-drink tea category suggest that positive feedback between market share and distribution exists in the early growth stage of the category. Therefore, early in the life of the new category small short-term changes in market share or distribution may generate larger long-term changes in market share and distribution. Later, such momentum appears absent. In this context, the authors discuss how a late entrant fails to capture a sizeable share of the market.",FT50,Y
The Existence of Low-End Firms May Help High-End Firms.,"Ishibashi, Ikuo; Matsushima, Noriaki",Marketing Science,07322399,,Jan/Feb2009,28,1,136,12,37206386,,INFORMS: Institute for Operations Research,Article,Marketing strategy; Quantity of products; Pricing; Theory of the firm; Product differentiation; Profit; Overproduction; Marketing science; MATHEMATICAL models; Competitive advantage in business; Consumer preferences; Game theory; House brands; First-mover advantage; Profitability; Mathematical models of economic competition; Prices,game theory; marketing strategy; pricing research; product positioning,"Two models of competition between high-end and low-end products benefiting the high-end firms are presented. One is a quantity competition model, and the other is a price competition model with product differentiation. The key factor is the existence of two heterogeneous consumer groups: those who demand only high-end (name-brand) products and those who care little whether products are high or low end. We show that, under certain conditions, the profits of firms in the high-end market are larger when there are firms producing low-end products than when there are not. The existence of price-sensitive consumers who care little about product quality intensifies competition among the high-end firms. The existence of low-end firms functions as a credible threat, which induces the high-end firms not to overproduce because price-sensitive consumers buy products from the low-end firms. The result provides a new theoretical mechanism concerning the profitability and pricing of national brand firms after the entry of private labels. It has an implication for pricing and marketing strategies: Established firms should not decrease their prices after the entry of nonestablished firms.",FT50,Y
The Fragility of Commitment.,"Morgan, John; Várdy, Felix",Management Science,00251909,,Jun2013,59,6,1344,10,88117145,10.1287/mnsc.1120.1639,INFORMS: Institute for Operations Research,Article,Economic equilibrium; Bounded rationality; First-mover advantage; Follower advantage; Oligopolies; Game theory; Commitment (Psychology); Generalization,Bertrand; costly leader game; Cournot; first-mover advantage; observation cost; second-mover advantage; Stackelberg; value of commitment,"We show that the value of commitment is fragile in many standard games. When the follower faces a small cost to observe the leader's action, equilibrium payoffs are identical to the case where the leader's actions are unobservable. Applications of our result include standard Stackelberg--Cournot and differentiated product Bertrand games, as well as forms of indirect commitment, highlighted in Bulow et al. [Bulow J, Geanakoplos J, Klemperer P (1985) Multimarket oligopoly: Strategic substitutes and strategic complements. J. Political Econom. 93:488-511]. Weakening full rationality in favor of boundedly rational solution concepts such as quantal-response equilibrium restores the value of commitment.",FT50,Y
The Market Structure for Internet Search Engines.,"TELANG, RAHUL; RAJAN, UDAY; MUKHOPADHYAY, TRIDAS",Journal of Management Information Systems,07421222,,Fall2004,21,2,137,24,14776241,,Taylor & Francis Ltd,Article,Web search engines; Industrial organization (Economic theory); Product differentiation; Price-quality relationship; Market entry; Marketing theory; Demand functions (Economic theory); Follower advantage; First-mover advantage; Game theory; Internet Publishing and Broadcasting and Web Search Portals; Mathematical models of economic competition; Quality,e-commerce; market structure; product differentiation; residual demand; search engines,"The Internet search engine market has seen a proliferation of entrants over the past few years. Whereas Yahoo was the early market leader, there has been entry by both lower-quality engines and higher-quality ones (such as Google). Prior work on quality differentiation requires that low-quality products have low prices in order to survive in a market with high-quality products. However, the price charged to users of search engines is typically zero. Therefore, consumers do not face a tradeoff between quality and price. Why do lower-quality products survive in such a market? We develop a vertical differentiation model that explains this phenomenon. The quality of the results provided by a search engine is inherently stochastic, and there is no charge for using an engine. Therefore, users who try out one engine may consult a lower-quality engine in the same session. This ""residual demand"" allows lower-quality products to survive in equilibrium. We then extend our model to incorporate horizontal differentiation as well and show that residual demand leads to higher quality and less differentiation in this market. Engines want to attract competitors' customers and therefore have a strong incentive to be ""similar"" to each other.",FT50,Y
